127.0.0.1 - - [01/Nov/2015:12:23:40 +0200] "GET /hello HTTP/1.1" 404 1004
127.0.0.1 - - [01/Nov/2015:12:23:43 +0200] "GET /hello/ HTTP/1.1" 404 1006
127.0.0.1 - - [01/Nov/2015:12:23:48 +0200] "GET /hello/ HTTP/1.1" 404 1006
127.0.0.1 - - [01/Nov/2015:12:23:49 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [01/Nov/2015:12:26:27 +0200] "GET / HTTP/1.1" 200 11250
127.0.0.1 - - [01/Nov/2015:12:26:27 +0200] "GET /tomcat.css HTTP/1.1" 200 5576
127.0.0.1 - - [01/Nov/2015:12:26:27 +0200] "GET /tomcat.png HTTP/1.1" 200 5103
127.0.0.1 - - [01/Nov/2015:12:26:27 +0200] "GET /bg-upper.png HTTP/1.1" 200 3103
127.0.0.1 - - [01/Nov/2015:12:26:27 +0200] "GET /bg-nav.png HTTP/1.1" 200 1401
127.0.0.1 - - [01/Nov/2015:12:26:27 +0200] "GET /asf-logo.png HTTP/1.1" 200 17811
127.0.0.1 - - [01/Nov/2015:12:26:27 +0200] "GET /bg-button.png HTTP/1.1" 200 713
127.0.0.1 - - [01/Nov/2015:12:26:27 +0200] "GET /bg-middle.png HTTP/1.1" 200 1918
127.0.0.1 - - [01/Nov/2015:12:29:28 +0200] "GET /hello/ HTTP/1.1" 200 1170
127.0.0.1 - - [01/Nov/2015:14:53:13 +0200] "GET /hello/ HTTP/1.1" 200 1389
127.0.0.1 - - [01/Nov/2015:14:53:20 +0200] "GET /hello/sayhelllo HTTP/1.1" 404 1024
127.0.0.1 - - [01/Nov/2015:14:53:24 +0200] "GET /hello/sayhello HTTP/1.1" 200 281
127.0.0.1 - - [01/Nov/2015:14:53:30 +0200] "GET /hello/sayhello HTTP/1.1" 200 279
127.0.0.1 - - [01/Nov/2015:14:53:30 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [01/Nov/2015:14:53:32 +0200] "GET /hello/sayhello HTTP/1.1" 200 280
127.0.0.1 - - [01/Nov/2015:14:53:32 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [01/Nov/2015:14:53:33 +0200] "GET /hello/sayhello HTTP/1.1" 200 280
